source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,phot_variable_flag,l,b,teff_val,a_g_val
5.98692E+17,132.9453697,0.60102682,11.2583055,0.43634864,2.390476843,0.764513094,9.598903483,-0.035874708,19.998251,2.4622784,1.1555309,1.3067474,,,NOT_AVAILABLE,216.3327805,31.77511031,,
5.98658E+17,132.4390484,0.037455716,10.94632911,0.023724385,1.697264528,0.049231563,-27.01375156,3.994376771,15.285919,1.2350359,0.5488453,0.6861906,,,NOT_AVAILABLE,216.4165337,31.19280229,4873.92,0.0213
5.98873E+17,132.1537852,0.270761275,11.36585226,0.186620123,0.118838717,0.342252595,-2.866750909,-2.363813649,18.999584,1.192419,0.45717812,0.73524094,,,NOT_AVAILABLE,215.8338985,31.11714253,,
5.98865E+17,132.2048205,1.486060889,11.16098489,0.978217859,-0.737995986,1.580711971,0.944216014,-4.981624009,20.758738,0.9287262,0.07074547,0.8579807,,,NOT_AVAILABLE,216.0754215,31.07587371,,
5.98677E+17,132.9275845,0.436111004,11.11331409,0.317875344,2.951757858,0.55668862,-4.551410483,-44.2630652,19.548708,2.5117397,1.23979,1.2719498,,,NOT_AVAILABLE,216.4784591,31.69780142,,
5.98685E+17,132.5933404,0.120079126,11.1141365,0.077311693,1.70977667,0.153918299,-9.489778861,1.808428295,14.559363,1.1335516,0.4798975,0.6536541,,,NOT_AVAILABLE,216.3141382,31.40122117,4907.9126,0.3757
5.9869E+17,132.9122273,0.084070259,11.22553578,0.049075476,0.718323396,0.104094527,0.525115766,-9.573499024,16.660885,,,,,,NOT_AVAILABLE,216.3514897,31.73178091,,
5.98855E+17,132.3478035,0.456661719,11.23080081,0.327677812,1.56002179,0.59393155,-16.79060545,8.4628508,19.744984,1.9801712,0.8509464,1.1292248,,,NOT_AVAILABLE,216.0709307,31.23250346,,
5.98627E+17,133.215585,0.435473666,11.08654965,0.307565803,0.27899733,0.582695114,-0.834394473,-1.940510543,19.710926,1.6904259,0.68203735,1.0083885,,,NOT_AVAILABLE,216.648367,31.94222538,,
5.98618E+17,133.0567033,2.479823723,10.94578198,0.895982691,,,,,20.33788,,,,,,NOT_AVAILABLE,216.7200945,31.74116732,,
5.98851E+17,132.2800118,0.020529921,11.04509815,0.014037576,1.437748641,0.027576255,8.931025934,-10.91002098,13.424308,0.78930473,0.31615162,0.4731531,,,NOT_AVAILABLE,216.23451,31.0935184,5871.6665,0.1655
5.98643E+17,132.6909767,0.745356649,10.86392439,0.479988193,0.18456484,1.054122093,-1.436967269,-3.572194374,20.091255,1.9619503,0.873806,1.0881443,,,NOT_AVAILABLE,216.627167,31.38144529,,
5.98661E+17,132.6003908,0.084199256,11.05215775,0.053271057,0.523793997,0.120480773,-13.51044627,-24.40300814,16.838543,0.8908005,0.3638096,0.5269909,,,NOT_AVAILABLE,216.3833108,31.38115662,5679,0.0795
5.98676E+17,133.0405079,0.733438147,11.09762423,0.523107659,0.690549142,0.891480816,-7.083348961,3.567158601,20.334854,2.196127,0.8768177,1.3193092,,,NOT_AVAILABLE,216.5505366,31.79143753,,
5.98859E+17,132.1447889,0.137548542,11.13441001,0.099785051,0.335520568,0.176476266,-6.299734244,-9.480768694,18.036917,1.6154613,0.77035904,0.8451023,,,NOT_AVAILABLE,216.0743786,31.01126327,,
5.98644E+17,132.6817647,11.27287802,10.89523106,2.233962974,,,,,20.903591,1.6695004,0.48931122,1.1801891,,,NOT_AVAILABLE,216.5894792,31.38662087,,
5.98663E+17,132.9511359,1.525026841,10.87806,1.216956414,-0.554506274,1.555336157,-6.990287356,-3.748967212,20.62759,2.0707874,0.8156128,1.2551746,,,NOT_AVAILABLE,216.7400873,31.61852182,,
