RA_ICRS,DE_ICRS,Source,GLON,GLAT,plx,Gmag,BP-RP
132.9465287,11.35387672,5.99E+17,216.2314648,31.81658299,1.2339,17.438314,2.049427
132.8012996,11.31075458,5.99E+17,216.206608,31.66930848,1.1585,13.923045,0.782881
132.9514771,11.30215877,5.99E+17,216.2890251,31.79910394,1.1421,14.430771,0.861522
132.8908347,11.38082904,5.99E+17,216.1755746,31.77848678,1.1938,12.622926,0.733996
132.7945581,11.31711131,5.99E+17,216.1965551,31.66600698,1.1271,17.276985,1.737898
132.9508988,11.33274849,5.99E+17,216.2561284,31.81153191,1.1615,15.423194,1.074598
132.579317,11.53827006,5.99E+17,215.8565754,31.56802125,1.174,16.222946,1.328331
132.4391865,11.64676284,5.99E+17,215.6733993,31.48905295,1.1562,15.547459,1.102338
132.3537579,11.73489911,5.99E+17,215.5384612,31.45005999,1.1766,11.790519,1.179466
132.3701822,11.66892792,5.99E+17,215.6165682,31.43700891,1.1748,15.229555,1.108856
132.5387224,11.59497961,5.99E+17,215.776564,31.55578557,1.1905,16.987318,1.618074
132.6825763,11.3126396,5.99E+17,216.1467844,31.56461273,1.2446,15.894176,1.288159
132.4874916,11.56507389,5.99E+17,215.7836477,31.4976759,1.058,15.072383,0.983085
132.503466,11.70271874,5.99E+17,215.6447877,31.56966908,1.1573,14.034753,0.800808
132.4691639,11.75978191,5.99E+17,215.567461,31.5630835,1.1943,15.650559,1.132288
132.5856566,11.49674939,5.99E+17,215.9038452,31.55617698,1.054,15.396214,1.076308
132.4370543,11.69893113,5.99E+17,215.6168316,31.50904105,1.0432,15.325155,1.078648
132.4628199,11.5802029,5.99E+17,215.755634,31.48210544,1.0056,17.110283,1.747181
132.4286597,11.71909916,5.99E+17,215.5913126,31.51003169,1.1143,12.567836,0.749397
132.7300203,11.52070435,5.99E+17,215.9482888,31.69457126,1.1428,14.011778,0.797163
132.7406513,11.43975847,5.99E+17,216.0397102,31.66990619,1.0157,17.647833,1.84267
132.6927225,11.33983284,5.99E+17,216.1227949,31.58512453,1.0891,14.997607,1.00344
132.5375323,11.55722179,5.99E+17,215.8161889,31.53885378,1.1044,14.061209,0.773249
132.4340912,11.4859404,5.99E+17,215.8419913,31.41691123,1.1217,13.371643,0.732743
132.5037716,11.44670328,5.99E+17,215.9174218,31.46231238,1.2118,16.570723,1.695378
132.3131184,11.73743251,5.99E+17,215.5162332,31.41498954,1.0995,14.053956,0.795002
132.7210244,11.52225079,5.99E+17,215.9422785,31.68722728,1.1237,13.242332,0.76069
132.8217858,11.43187558,5.99E+17,216.0875437,31.73868151,1.188,15.022562,0.985582
132.8130617,11.44516154,5.99E+17,216.0691384,31.73653394,1.094,13.030944,0.757486
132.851151,11.38812565,5.99E+17,216.1484688,31.74630699,1.1265,13.026408,0.74876
132.4866957,11.69248449,5.99E+17,215.6476105,31.55046917,1.1947,9.403743,1.468799
132.8497502,11.41369726,5.99E+17,216.120527,31.75585961,1.1015,13.160717,0.738852
132.6504135,11.6183206,5.99E+17,215.8056746,31.66487325,1.0992,15.943875,1.23183
