,index,ra,dec,parallax,pmra,pmdec,phot_g_mean_mag,bp_rp,bp_g,g_rp,r_med_geo,MST_cluster,cluster num.,prob,mass,ruwe,rv_template_fe_h,has_epoch_rv,teff_gspphot,distance_gspphot,radial_velocity,azero_gspphot,ag_gspphot,ebpminrp_gspphot,source_id.1,r_med_photogeo,logg_gspphot,logg_gspspec,mh_gspphot,mg_gspphot,mh_gspspec,alphafe_gspspec,fem_gspspec,Gmg,L
0,2,85.00453612908271,9.156065362438447,2.471441190298093,1.2290508011671464,-2.463115264119897,15.718048,2.463029,1.3188381,1.1441908,397.73663,1,1,0.9982354685553457,1.0,1.0519934,,False,3580.8496,380.5153,,0.8668,0.5764,0.3543,3336328980626619008,394.3468,3.9935,,-0.4591,7.1684,,,,7.682799402867452,0.07225705199121421
1,3,85.03200536926234,9.190499958631664,2.5501876953128315,1.699087924733303,-2.4820108781128862,18.074802,3.2548409,1.8836365,1.3712044,390.58817,1,1,0.9833567069148983,1.0,1.0624194,,False,,,,,,,3336330595534353792,390.70602,,,,,,,,10.107662729696814,0.007743457304843588
2,4,85.03736963857041,9.254333579138695,2.487887564620896,1.4258906816434784,-2.3547120138398925,16.835894,2.9503927,1.6981239,1.2522688,393.77423,1,1,0.9956796755751613,1.0,1.0466859,,False,,,,,,,3336331493184024064,395.23773,,,,,,,,8.815047746717518,0.025467182547440185
3,5,85.28784147029562,9.257307750012268,2.4381902040839947,1.6923234673720673,-2.202942398357778,17.197546,3.1173325,1.8174171,1.2999153,400.53595,1,1,0.9805994569533507,1.0,0.9775026,,False,3438.3022,386.7646,,1.2914,0.7951,0.5744,3336333520408537088,392.74573,4.4186,,0.4124,8.3725,,,,9.13288391035362,0.01900406187924926
4,6,85.28887746262707,9.256315961427632,2.410811411880728,1.5122114971590075,-2.465841562433365,16.76901,2.6506538,1.017067,1.6335869,404.0732,1,1,0.997358434334486,1.0,1.0691248,,False,,,,,,,3336333520408537216,403.79166,,,,,,,,8.67982619294299,0.028844932222344653
5,7,85.27968085179688,9.31205105457078,2.444935116327266,1.840965623370634,-2.455098141162701,17.352839,1.8241749,0.7346382,1.0895367,403.1951,1,1,0.9837347161976318,1.0,1.1061071,,False,3707.0679,563.0827,,0.0057,0.0039,0.0024,3336335474617325568,396.86813,4.6993,,0.1677,8.5503,,,,9.294175691541685,0.01638059690818398
6,8,85.2894788694355,9.316179932911782,2.4898539277959757,1.4963951572442442,-2.2235618075518127,16.593727,3.0621128,1.7712173,1.2908955,396.04788,1,1,0.9964868591755347,1.0,1.0814233,,False,,,,,,,3336335478913607680,393.48343,,,,,,,,8.574596345492742,0.03178055387012855
7,9,85.16334278167055,9.239642992933318,2.4715990655968207,1.463405489126092,-2.330456240999829,16.845604,3.0526743,1.7731705,1.2795038,396.1451,1,1,0.995996996715475,1.0,1.1013098,,False,3460.8452,411.3496,,1.3676,0.8539,0.5908,3336336200468159616,399.74432,4.2204,,0.1805,7.8588,,,,8.810494111774403,0.02557421755342534
8,10,85.1673091212861,9.268976296742936,2.35603572229179,1.442377702290591,-2.1840224187412574,18.146832,3.529356,2.142685,1.3866711,419.8837,1,1,0.9830495622437431,1.0,1.0698739,,False,,,,,,,3336336505409430784,417.58957,,,,,,,,10.007741354761638,0.008489917266352424
9,11,85.15781083201392,9.307797762501083,2.705311123547793,1.2630843192487862,-2.127448604390056,17.94508,3.4762592,2.1126842,1.363575,366.502,1,1,0.9995362527503581,1.0,0.9525224,,False,,,,,,,3336337811079530368,367.28204,,,,,,,,10.10616609115014,0.007754138672816131
