distance,reddening,distance_uncertainty,reddening_uncertainty_min,reddening_uncertainty_max
0,0,13,0.014,0.014
5,0,12,0.015,0.015
10,0,12,0.015,0.015
15,0,12,0.015,0.015
20,0.001,12,0.015,0.015
25,0.001,12,0.016,0.016
30,0.001,12,0.016,0.016
35,0.002,12,0.016,0.016
40,0.002,11,0.016,0.016
45,0.002,11,0.016,0.016
50,0.002,11,0.017,0.017
55,0.002,11,0.017,0.017
60,0.002,11,0.017,0.017
65,0.003,11,0.017,0.017
70,0.003,11,0.017,0.017
75,0.003,11,0.017,0.017
80,0.003,11,0.017,0.017
85,0.004,11,0.017,0.017
90,0.004,11,0.018,0.018
95,0.004,11,0.018,0.018
100,0.005,11,0.018,0.018
105,0.006,12,0.018,0.018
110,0.007,12,0.018,0.018
115,0.009,12,0.018,0.018
120,0.011,12,0.019,0.019
125,0.014,13,0.019,0.019
130,0.018,13,0.019,0.019
135,0.023,13,0.02,0.02
140,0.029,14,0.021,0.021
145,0.036,14,0.022,0.022
150,0.045,15,0.023,0.023
155,0.057,15,0.024,0.024
160,0.069,15,0.026,0.026
165,0.079,16,0.026,0.026
170,0.087,16,0.027,0.027
175,0.091,17,0.028,0.028
180,0.094,17,0.029,0.029
185,0.097,18,0.03,0.03
190,0.099,18,0.032,0.032
195,0.101,19,0.033,0.033
200,0.103,19,0.034,0.034
205,0.106,20,0.036,0.036
210,0.108,20,0.037,0.037
215,0.111,20,0.038,0.038
220,0.113,21,0.039,0.039
225,0.116,22,0.041,0.041
230,0.119,22,0.042,0.042
235,0.121,23,0.043,0.043
240,0.124,23,0.043,0.043
245,0.127,24,0.043,0.043
250,0.131,24,0.044,0.044
255,0.134,25,0.044,0.044
260,0.137,25,0.044,0.044
265,0.141,26,0.044,0.044
270,0.144,26,0.045,0.045
275,0.148,27,0.046,0.046
280,0.151,27,0.047,0.047
285,0.154,27,0.048,0.048
290,0.157,28,0.048,0.048
295,0.159,28,0.049,0.049
300,0.162,28,0.05,0.05
305,0.164,28,0.053,0.053
310,0.166,28,0.055,0.055
315,0.168,29,0.056,0.056
320,0.17,29,0.057,0.057
325,0.172,29,0.057,0.057
330,0.173,29,0.057,0.057
335,0.175,29,0.06,0.06
340,0.176,29,0.061,0.061
345,0.178,30,0.061,0.061
350,0.179,30,0.061,0.061
355,0.18,30,0.063,0.063
360,0.182,30,0.065,0.065
365,0.183,30,0.067,0.067
370,0.184,30,0.068,0.068
375,0.185,31,0.068,0.068
380,0.186,31,0.069,0.069
385,0.187,31,0.069,0.069
390,0.188,31,0.07,0.07
395,0.189,31,0.069,0.069
400,0.19,31,0.068,0.068
405,0.191,31,0.071,0.071
410,0.192,31,0.074,0.074
415,0.192,31,0.074,0.074
